2023-12-30 17:12:188 INFO  HomePage :82 - Sending data to Password Field in Login : [[ChromeDriver: chrome on windows (022548b263acb03cac38c7d64d94c45a)] -> xpath: //input[@placeholder='Password']]
2023-12-30 17:12:10 INFO  HomePage :88 - Clicking on Login button : [[ChromeDriver: chrome on windows (022548b263acb03cac38c7d64d94c45a)] -> xpath: //button[normalize-space()='Login']]
2023-12-30 17:12:571 INFO  HomePage :61 - Getting text as New User Signup! : [[ChromeDriver: chrome on windows (2e7dff4405c902f89336c2e875643d50)] -> xpath: //h2[normalize-space()='New User Signup!']]
2023-12-30 17:12:815 INFO  HomePage :73 - Sending the name text to signup field : [[ChromeDriver: chrome on windows (2e7dff4405c902f89336c2e875643d50)] -> xpath: //input[@data-qa='signup-email']]
2023-12-30 17:12:938 INFO  HomePage :75 - Sending the email text to signup field : [[ChromeDriver: chrome on windows (2e7dff4405c902f89336c2e875643d50)] -> xpath: //input[@data-qa='signup-email']]
2023-12-30 17:12:692 INFO  HomePage :91 - Clicking on Signup button : [[ChromeDriver: chrome on windows (2e7dff4405c902f89336c2e875643d50)] -> xpath: //button[normalize-space()='Signup']]
2023-12-30 17:12:335 INFO  HomePage :61 - Getting text as New User Signup! : [[ChromeDriver: chrome on windows (3c0755208c25028a2403200a8d7f4554)] -> xpath: //h2[normalize-space()='New User Signup!']]
2023-12-30 17:12:309 INFO  HomePage :91 - Clicking on Signup button : [[ChromeDriver: chrome on windows (3c0755208c25028a2403200a8d7f4554)] -> xpath: //button[normalize-space()='Signup']]
2023-12-30 18:12:388 INFO  HomePage :37 - Getting Home Page URL : 
2023-12-30 18:12:00 INFO  HomePage :58 - Getting text as Login to your account : [[ChromeDriver: chrome on windows (8ae1b9373d8a6612a051dfcfa66ee1ba)] -> xpath: //h2[normalize-space()='Login to your account']]
2023-12-30 18:12:238 INFO  HomePage :80 - Sending data to Email Address Field in Login : [[ChromeDriver: chrome on windows (8ae1b9373d8a6612a051dfcfa66ee1ba)] -> xpath: //input[@data-qa='login-email']]
2023-12-30 18:12:420 INFO  HomePage :82 - Sending data to Password Field in Login : [[ChromeDriver: chrome on windows (8ae1b9373d8a6612a051dfcfa66ee1ba)] -> xpath: //input[@placeholder='Password']]
2023-12-30 18:12:121 INFO  HomePage :88 - Clicking on Login button : [[ChromeDriver: chrome on windows (8ae1b9373d8a6612a051dfcfa66ee1ba)] -> xpath: //button[normalize-space()='Login']]
2023-12-30 18:12:431 INFO  HomePage :61 - Getting text as New User Signup! : [[ChromeDriver: chrome on windows (c046323ac5fae04fdf85a50ceacf182f)] -> xpath: //h2[normalize-space()='New User Signup!']]
2023-12-30 18:12:687 INFO  HomePage :73 - Sending the name text to signup field : [[ChromeDriver: chrome on windows (c046323ac5fae04fdf85a50ceacf182f)] -> xpath: //input[@data-qa='signup-email']]
